Rando,subitem_id,subid,created,sub_date,plan__nickname,plan__id,quantity,status,plan__active,plan__amount,interval,cus_id,divs_division_id,type,creation_time,tp_user_id,ur_user_id,u_user_id,stripe_subscription_type,address__state,address__city
0.584947774838806,si_NsqEK1dcZtvsni,sub_1N74XyGiU1oRXdcX19MfTBku,2023-05-12 22:34:46.000000,2023-05-12,PlayerFocus Basic (Monthly),price_1MqkygGiU1oRXdcXux82nS5X,1,active,TRUE,2000,month,cus_NsqE1NSCme5PGc,5573,flex,2023-04-28 22:57:13.000000,4393349,4393349,4414025,flex_pay2unlock,,
0.585007441318506,si_Nk8XD2ELe9BUxd,sub_1MyeGdGiU1oRXdcX4jkd6UVa,2023-04-19 16:54:03.000000,2023-04-19,Equipment Subscription (Annual),price_1MpFtjGiU1oRXdcXpGUJ5fOA,1,active,TRUE,49500,year,cus_Nk8X6SIrrbS1OK,5490,flex,2023-04-19 17:18:50.000000,4297607,4348031,4297607,flex_pay2unlock,AL,Gulf Shores
0.585079661413192,si_Ntv8JrbfzMHnnW,sub_1N87HwGiU1oRXdcX7UR78AF6,2023-05-15 19:42:32.000000,2023-05-15,PlayerFocus Pro (Annual),price_1Mqkz6GiU1oRXdcXbijuv6WS,1,active,TRUE,24000,year,cus_Ntv876sQplnJiZ,5643,flex,2023-05-05 18:03:25.000000,4396009,4396009,4395988,flex_pay2unlock,,
0.585314807280443,si_NrMd6EBqQKD75g,sub_1N5duhGiU1oRXdcXAkrWcfKM,2023-05-08 23:56:19.000000,2023-05-08,PlayerFocus Basic (Monthly),price_1MqkygGiU1oRXdcXux82nS5X,1,active,TRUE,2000,month,cus_NrMdEHRvQU63s6,5478,flex,2023-04-17 18:14:17.000000,4296360,4296360,4296361,flex_pay2unlock,,
0.58531587712671,si_O6rcajWjzI3pvL,sub_1NKdtLGiU1oRXdcX2UdyOuDb,2023-06-19 08:56:55.000000,2023-06-19,PlayerFocus Pro (Annual),price_1Mqkz6GiU1oRXdcXbijuv6WS,1,active,TRUE,24000,year,cus_O6rcMM1PB2XnK1,5703,flex,2023-05-10 22:03:17.000000,4434238,4434238,4447054,flex_pay2unlock,NV,Reno
0.585520580054583,si_NxFqaTu4UjevCj,sub_1NBLLGGiU1oRXdcX5neaLSvL,2023-05-24 17:19:18.000000,2023-05-24,PlayerFocus Pro (Annual),price_1Mqkz6GiU1oRXdcXbijuv6WS,1,active,TRUE,24000,year,cus_NxFqEPlO8sGBmk,5654,flex,2023-05-08 13:33:38.000000,4434037,,4434037,flex_pay2unlock,,
0.585636807985683,si_O0cXvesL9pRI6Z,sub_1NEbHwGiU1oRXdcXLEiDbarx,2023-06-02 16:57:19.000000,2023-06-02,PlayerFocus Pro (Annual),price_1Mqkz6GiU1oRXdcXbijuv6WS,1,active,TRUE,24000,year,cus_O0cWQrF46VQSyd,5873,flex_watch,2023-06-02 17:18:08.000000,2692822,2692821,2692822,flex_pay2unlock,PA,Warrington
0.586079639301197,si_O3FWrxhC5015Eb,sub_1NH91bGiU1oRXdcXobNoJOHI,2023-06-09 17:22:59.000000,2023-06-09,PlayerFocus Pro (Annual),price_1Mqkz6GiU1oRXdcXbijuv6WS,1,active,TRUE,24000,year,cus_O3FWZiyWpcFUv5,5926,flex_watch,2023-06-09 17:39:16.000000,4595441,4595462,4595441,flex_pay2unlock,CA,Dana Point
0.58616543428028,si_NuKmreME9hY2d2,sub_1N8W7CGiU1oRXdcXUAzfFxEk,2023-05-16 22:13:06.000000,2023-05-16,PlayerFocus (Annual),price_1MqkygGiU1oRXdcXDDGHyGOQ,2,active,TRUE,18000,year,cus_NuKmZC3L0rjFED,,,,2484641,4473969,2484641,flex_pay2unlock,CA,ALISO VIEJO
0.58637892911572,si_O5mpy3ZVEXCAdT,sub_1NJbFOGiU1oRXdcXDRvj69ZU,2023-06-16 11:55:22.000000,2023-06-16,Equipment Subscription (Annual),price_1MpFtjGiU1oRXdcXpGUJ5fOA,1,active,TRUE,49500,year,cus_O5mpPd4GmKECEJ,5976,flex_watch,2023-06-16 15:08:15.000000,4623735,4624600,4623735,flex_pay2unlock,MD,Dunkirk
